Название,Продолжительность,movies_duration
Слушатель,94 мин,94
Поле,48 мин,48
Эми,"Emily in Paris, 30 мин",30
Со мною вот что происходит,72 мин,72
Бой с тенью,132 мин,132
Турист,"The Tourist, 103 мин",103
Чужая жена и муж под кроватью,67 мин,67
Маруся,"Marussia, 82 мин",82
Употребить до:,72 мин,72
Первый снег,83 мин,83
Белоснежка и Охотник 2,"The Huntsman: Winter's War, 114 мин",114
Президент и его внучка,100 мин,100
Лес,"The Sea of Trees, 110 мин",110
Ангелы мечты,113 мин,113
Медвежонок Винни и его друзья,"Winnie the Pooh, 63 мин",63
Полосатый рейс,87 мин,87
Полной грудью,"Breathe In, 98 мин",98
Последняя дорога,101 мин,101
Лунный свет,"Moonlight, 110 мин",110
Доминика,80 мин,80
30 минут в день,"30 minutes par jour, 6 мин",6
Допинг,"The Program, 99 мин",99
Зеленая книга,"Green Book, 130 мин",130
Вторая жизнь Уве,"En man som heter Ove, 116 мин",116
Ловушка времени,"Time Trap, 87 мин",87
Белые кораблики,"White Squall, 129 мин",129
Американский дедушка,80 мин,80
Дельфин Берни,"Bernie the Dolphin, 88 мин",88
Неисправимый Рон,"Ron's Gone Wrong, 107 мин",107
Финист - Ясный сокол,79 мин,79
Правдивая история,"True Story, 99 мин",99
"Не ходите, девки, замуж",68 мин,68
Праздник Любви,"Feast of Love, 97 мин",97
Битлджус 2,"Beetlejuice Beetlejuice, 105 мин",105
Джунгли,"Jungle, 115 мин",115
Точка обстрела,"Vantage Point, 90 мин",90
Я худею,102 мин,102
Мечты сбываются,"One Chance, 103 мин",103
Тайное влечение,"Adoration, 111 мин",111
Три тысячи лет желаний,"Three Thousand Years of Longing, 108 мин",108
Из Африки,"Out of Africa, 161 мин",161
Форсаж 7,"Fast & Furious 7, 137 мин",137
Гостья,"The Host, 125 мин",125
Сережа,80 мин,80
Поторопись,"Yuppi du, 120 мин",120
Город Зеро,103 мин,103
Кровь за кровь,"Four Brothers, 109 мин",109
Средь бела дня,"The Cold Light of Day, 93 мин",93
Пила 6,"Saw VI, 91 мин",91
Образцовый самец,"Zoolander, 90 мин",90
Викинг,"Vikings, 45 мин",45
Гроза,79 мин,79
Мидуэй,"Midway, 138 мин",138
На грани,"Man on a Ledge, 102 мин",102
Дракула,"Bram Stoker's Dracula, 128 мин",128
Сын Маски,"Son of the Mask, 94 мин",94
Пушистый шпион,"Marnies Welt, 92 мин",92
Специалист,"The Specialist, 110 мин",110
Перекрестки,"Crossroads, 93 мин",93
Мотылёк,"Papillon, 133 мин",133
Весёлая ферма,"KuToppen, 66 мин",66
Короли лета,"The Kings of Summer, 95 мин",95
Жмот,"Radin!, 89 мин",89
Леди Бёрд,"Lady Bird, 94 мин",94
Даю год,"I Give It a Year, 93 мин",93
Чёрный клановец,"BlacKkKlansman, 135 мин",135
Прячься,"The Boy Behind the Door, 88 мин",88
Война,120 мин,120
Приручить дракона,"How to Train Your Dragon, 98 мин",98
Меркурий в опасности,"Mercury Rising, 111 мин",111
Шпион,49 мин,49
Апелляция,91 мин,91
Улетные букашки,"Ying huo qi bing, 83 мин",83
Большие глаза,"Big Eyes, 106 мин",106
Урфин Джюс и его деревянные солдаты,88 мин,88
Модная мамочка,"Raising Helen, 119 мин",119
"Непосредственно, Каха!",110 мин,110
Моя ужасная сестра,76 мин,76
Кидалы,"The Grifters, 110 мин",110
Мерзлая земля,50 мин,50
Тролль-людоед,"Cannibal Troll, 84 мин",84
Анна,"Anna, 118 мин",118
Алые паруса,88 мин,88
Счастье в конверте,98 мин,98
Выпуск 8,45 мин,45
Секс в сауне,"Gay Sex in the 70s, 67 мин",67
451 градус по Фаренгейту,"Fahrenheit 451, 100 мин",100
Финальный счёт,"Final Score, 104 мин",104
Плохие парни,"Bad Boys, 119 мин",119
Затерянные во льдах,"Arctic, 97 мин",97
Битва проклятых,"Battle of the Damned, 88 мин",88
Хэллоуин 2,"Halloween, 108 мин",108
Девять ярдов,"The Whole Nine Yards, 98 мин",98
Пиджак,"The Jacket, 102 мин",102
Спасти Землю,"Echo Jew Gong Lok, 81 мин",81
Любовь по расчету,"For Love or Money, 95 мин",95
Семья года,90 мин,90
Каменная башка,94 мин,94
"Те, кто желает мне смерти","Those Who Wish Me Dead, 100 мин",100
"Жизнь, как она есть","Life as We Know It, 115 мин",115
Неуязвимый,"Unbreakable, 106 мин",106
Разминка,"Warming Up to You, 84 мин",84
Любовь с уведомлением,"Two Weeks Notice, 101 мин",101
Земля обетованная,"Promised Land, 106 мин",106
Газонокосильщик,"The Lawnmower Man, 108 мин",108
Горячий снег,99 мин,99
По семейным обстоятельствам,128 мин,128
Экстрасенсы,"Solace, 101 мин",101
Преступления сердца,"Crimes of the Heart, 105 мин",105
Рататуй,"Ratatouille, 111 мин",111
В поисках острых ощущений,"47 Meters Down, 89 мин",89
И просто так... Документальный фильм,"And Just Like That... The Documentary, 70 мин",70
Чистосердечное признание,90 мин,90
Иван да Марья,88 мин,88
Комиссар,"Kommissar Rex, 45 мин",45
Ограды,"Fences, 139 мин",139
Порталы времени,"Portals, 88 мин",88
"Угадай, кто?","Guess Who, 105 мин",105
Духless 2,107 мин,107
Мне по кайфу,"I Feel Good, 103 мин",103
Подранки,93 мин,93
Папаши без вредных привычек,"On ne choisit pas sa famille, 103 мин",103
Выпуск 14,47 мин,47
Седьмой спутник,89 мин,89
Ла-Ла Ленд,"La La Land, 128 мин",128
Прерванная жизнь,"Girl, Interrupted, 127 мин",127
Славные парни,"The Nice Guys, 115 мин",115
Целитель Адамс,"Patch Adams, 115 мин",115
Ничего личного,"Duplicity, 125 мин",125
Возвращение «Святого Луки»,95 мин,95
Прозрение,"Los ojos de Julia, 118 мин",118
Пробуждающийся лес,"Wake Wood, 86 мин",86
Я краснею,"Turning Red, 100 мин",100
Соучастники,98 мин,98
Рокетмен,"Rocketman, 121 мин",121
Зелёный фонарь,"Green Lantern, 114 мин",114
Интервью с вампиром,"Interview with the Vampire: The Vampire Chronicles, 123 мин",123
Мачо и ботан 2,"22 Jump Street, 112 мин",112
Государственный преступник,90 мин,90
Боец без правил,"Notorious Nick, 88 мин",88
Мольба,"Guzaarish, 126 мин",126
Марица,67 мин,67
Ответный ход,84 мин,84
Отцовский инстинкт,45 мин,45
Последний легион,"The Last Legion, 101 мин",101
А зори здесь тихие...,160 мин,160
Красотки на съемках,"Minyeowa sunjeongnam, 70 мин",70
Австралия,"Australia, 159 мин",159
Неидеальное убийство,"The Private Life of a Modern Woman, 71 мин",71
Профессионал,"Le professionnel, 108 мин",108
Большая игра,"Molly's Game, 140 мин",140
Пожары,"Incendies, 131 мин",131
Молодое вино,86 мин,86
Бегущий по лезвию,"Blade Runner 2049, 164 мин",164
Ип Ман 3,"Yip Man 3, 105 мин",105
Черный рыцарь,"Taekbaegisa, 46 мин",46
Рыцарь дня,"Knight and Day, 109 мин",109
Лес,"The Sea of Trees, 110 мин",110
Мстители,"The Avengers, 137 мин",137
Пункт назначения 2,"Final Destination 2, 90 мин",90
Двое - это слишком,"Two Much, 118 мин",118
Выпускной экзамен,"À toute épreuve, 95 мин",95
Жених с того света,48 мин,48
Не входи,"The Owners, 92 мин",92
Нико 2,"Niko 2 - lentäjäveljekset, 79 мин",79
Храбрая принцесса,"Anahit, 86 мин",86
Вакансия на жертву,"Vacancy, 85 мин",85
"Первая встреча, последняя встреча",92 мин,92
МАТЧ! Футбол,117 мин,117
Спасти Ленинград,95 мин,95
Берегись автомобиля,94 мин,94
Кунг-фу Панда 3,"Kung Fu Panda 3, 95 мин",95
Амстердам,"Amsterdam, 134 мин",134
Место встречи,"The Place, 105 мин",105
"Клуб ""Завтрак""","The Breakfast Club, 97 мин",97
Знак беды,151 мин,151
Заячья школа,"Rabbit school, 79 мин",79
Империя Солнца,"Empire of the Sun, 153 мин",153
Горожане,86 мин,86
Адская кухня,"Hell's Kitchen, 43 мин",43
Жил-был кот,"Rudolf The Black Cat, 89 мин",89
Евротур,"EuroTrip, 90 мин",90
Морфий,107 мин,107
Заяц,97 мин,97
Четырнадцатое июля,"14 Juillet, 8 мин",8
Мандаринка,"Mandarin Ducks, 36 мин",36
Леди Макбет Мценского уезда,80 мин,80
Аладдин,"Aladdin, 90 мин",90
Отряд самоубийц,"Suicide Squad, 118 мин",118
Район №9,"District 9, 112 мин",112
Лёд,134 мин,134
Этот неловкий момент,"Un moment d'égarement, 101 мин",101
Шерлок Гномс,"Sherlock Holmes, 128 мин",128
Добро пожаловать в ПОП!,"Pop Redemption, 94 мин",94
Чип и Дейл спешат на помощь,"Chip 'n Dale: Rescue Rangers, 22 мин",22
Решала,"Mr Inbetween, 25 мин",25
Брокколи,7 мин,7
Просто вместе,"Ensemble, c'est tout, 97 мин",97
Волкодав из рода Серых Псов,136 мин,136
Суворов,104 мин,104
Вымышленные герои,"Imaginary Heroes, 111 мин",111
